order_id,customer_id,order_date,pincode,courier_id,seller_id,product_category,order_value,cod_amount,payment_type,is_first_order,address_verified,order_status,rto,synthetic_rto_probability,scenario
ORD-10000,CUST-001,2026-08-02,560001,C03,SELLER-10,Beauty,1499,1499,COD,False,True,DELIVERED,0,0.04,CLEAR_SAFE
ORD-10001,CUST-016,2026-06-15,560004,C01,SELLER-05,Beauty,1299,1299,COD,False,False,RTO,1,0.7,CLEAR_RISKY
ORD-10002,CUST-002,2026-07-13,560068,C07,SELLER-07,Personal_Care,1299,1299,COD,False,True,DELIVERED,0,0.28,GOOD_CUSTOMER_BAD_PINCODE
ORD-10003,CUST-051,2026-06-14,560068,C07,SELLER-04,Personal_Care,1299,1299,COD,False,True,DELIVERED,0,0.42,COURIER_PINCODE_ANOMALY
ORD-10004,CUST-026,2026-08-21,560100,C04,SELLER-02,Personal_Care,1299,1299,COD,True,True,DELIVERED,0,0.32,NEW_EVERYTHING
ORD-10005,CUST-005,2026-07-16,560009,C02,SELLER-09,Mobile_Accessories,399,399,COD,False,True,DELIVERED,0,0.2,LOW_SAMPLE_SPIKE
ORD-10006,CUST-003,2026-06-06,560014,C04,SELLER-06,Sports,599,599,COD,False,True,DELIVERED,0,0.02,MISSING_COURIER_DATA
ORD-10007,CUST-004,2026-07-10,560068,C01,SELLER-07,Fashion,1999,1999,COD,False,True,DELIVERED,0,0.28,CONFLICTING_SIGNALS
ORD-10008,CUST-059,2026-06-22,560068,C07,SELLER-07,Beauty,1999,1999,COD,False,False,DELIVERED,0,0.3079,TEMPORARY_DISRUPTION
ORD-10009,CUST-006,2026-08-22,560012,C01,SELLER-10,Kitchen,3999,3999,COD,False,True,DELIVERED,0,0.3,NO_HISTORICAL_PRECEDENT
ORD-10010,CUST-079,2026-07-06,560015,C04,SELLER-05,Personal_Care,4999,4999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10011,CUST-084,2026-07-30,560003,C03,SELLER-08,Home,1999,1999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10012,CUST-047,2026-06-25,560001,C04,SELLER-08,Beauty,1499,1499,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10013,CUST-021,2026-06-05,560009,C07,SELLER-09,Kitchen,4999,4999,COD,False,True,DELIVERED,0,0.3244,NORMAL
ORD-10014,CUST-013,2026-08-11,560008,C04,SELLER-04,Sports,1999,1999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10015,CUST-073,2026-07-14,560015,C01,SELLER-04,Kitchen,599,599,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10016,CUST-035,2026-07-08,560076,C03,SELLER-09,Sports,1999,1999,COD,False,True,DELIVERED,0,0.0708,NORMAL
ORD-10017,CUST-075,2026-07-04,560011,C03,SELLER-05,Grocery,4999,4999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10018,CUST-009,2026-06-23,560007,C03,SELLER-03,Sports,599,599,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10019,CUST-054,2026-08-24,560076,C07,SELLER-02,Kitchen,2999,2999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10020,CUST-016,2026-07-01,560006,C03,SELLER-03,Sports,399,399,COD,False,False,RTO,1,0.5151,NORMAL
ORD-10021,CUST-004,2026-08-28,560010,C02,SELLER-02,Grocery,3999,3999,COD,False,True,RTO,1,0.02,NORMAL
ORD-10022,CUST-024,2026-06-29,560016,C04,SELLER-01,Beauty,1499,1499,COD,False,True,DELIVERED,0,0.3801,NORMAL
ORD-10023,CUST-054,2026-08-05,560003,C04,SELLER-10,Fashion,1999,1999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10024,CUST-010,2026-07-29,560076,C03,SELLER-02,Home,599,599,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10025,CUST-062,2026-09-01,560100,C02,SELLER-08,Footwear,2499,2499,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10026,CUST-085,2026-08-03,560014,C03,SELLER-01,Personal_Care,2999,2999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10027,CUST-007,2026-06-28,560007,C02,SELLER-03,Fashion,1299,1299,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10028,CUST-005,2026-07-03,560001,C04,SELLER-08,Personal_Care,1999,1999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10029,CUST-025,2026-08-20,560010,C04,SELLER-05,Home,599,599,COD,False,True,DELIVERED,0,0.3327,NORMAL
ORD-10030,CUST-061,2026-08-06,560007,C04,SELLER-04,Sports,599,599,COD,False,True,RTO,1,0.2171,NORMAL
ORD-10031,CUST-022,2026-08-01,560005,C01,SELLER-05,Beauty,399,399,COD,False,True,DELIVERED,0,0.383,NORMAL
ORD-10032,CUST-060,2026-08-11,560010,C04,SELLER-05,Grocery,599,599,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10033,CUST-023,2026-06-08,560068,C04,SELLER-10,Fashion,1999,1999,COD,False,True,DELIVERED,0,0.3806,NORMAL
ORD-10034,CUST-075,2026-08-09,560100,C03,SELLER-04,Fashion,399,399,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10035,CUST-060,2026-07-20,560001,C03,SELLER-03,Electronics,2999,2999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10036,CUST-052,2026-06-13,560009,C02,SELLER-08,Footwear,2999,2999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10037,CUST-049,2026-08-11,560011,C01,SELLER-07,Mobile_Accessories,799,799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10038,CUST-069,2026-07-05,560013,C07,SELLER-02,Grocery,399,399,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10039,CUST-008,2026-07-15,560013,C07,SELLER-08,Sports,399,399,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10040,CUST-056,2026-06-24,560100,C04,SELLER-01,Grocery,3999,3999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10041,CUST-009,2026-06-07,560010,C04,SELLER-02,Grocery,4999,4999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10042,CUST-062,2026-07-28,560008,C02,SELLER-01,Sports,1299,1299,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10043,CUST-015,2026-08-13,560004,C04,SELLER-08,Beauty,599,599,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10044,CUST-073,2026-07-28,560014,C04,SELLER-08,Home,1999,1999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10045,CUST-013,2026-07-01,560100,C07,SELLER-02,Beauty,4999,4999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10046,CUST-085,2026-08-14,560011,C07,SELLER-05,Electronics,1299,1299,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10047,CUST-061,2026-07-08,560016,C02,SELLER-08,Sports,1999,1999,COD,False,True,DELIVERED,0,0.2921,NORMAL
ORD-10048,CUST-078,2026-07-30,560013,C04,SELLER-04,Home,1499,1499,COD,False,True,DELIVERED,0,0.0292,NORMAL
ORD-10049,CUST-085,2026-07-12,560014,C01,SELLER-07,Grocery,1499,1499,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10050,CUST-080,2026-08-01,560005,C04,SELLER-09,Beauty,399,399,COD,False,True,DELIVERED,0,0.0311,NORMAL
ORD-10051,CUST-007,2026-08-14,560015,C01,SELLER-01,Grocery,2499,2499,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10052,CUST-085,2026-08-04,560005,C01,SELLER-06,Kitchen,1999,1999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10053,CUST-068,2026-08-28,560011,C07,SELLER-08,Mobile_Accessories,1799,1799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10054,CUST-064,2026-06-14,560008,C03,SELLER-07,Fashion,999,999,COD,True,True,DELIVERED,0,0.0509,NORMAL
ORD-10055,CUST-073,2026-06-09,560004,C04,SELLER-01,Kitchen,799,799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10056,CUST-004,2026-07-26,560012,C03,SELLER-04,Beauty,1799,1799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10057,CUST-070,2026-08-28,560006,C02,SELLER-10,Fashion,799,799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10058,CUST-070,2026-08-05,560016,C07,SELLER-08,Home,799,799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10059,CUST-021,2026-06-12,560001,C04,SELLER-03,Sports,1299,1299,COD,False,True,DELIVERED,0,0.2787,NORMAL
ORD-10060,CUST-042,2026-07-19,560076,C03,SELLER-05,Footwear,3999,3999,COD,False,True,DELIVERED,0,0.051,NORMAL
ORD-10061,CUST-014,2026-07-30,560013,C04,SELLER-07,Home,599,599,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10062,CUST-027,2026-06-05,560010,C01,SELLER-05,Footwear,3999,3999,COD,False,False,DELIVERED,0,0.1287,NORMAL
ORD-10063,CUST-070,2026-08-19,560002,C07,SELLER-05,Grocery,4999,4999,COD,False,True,DELIVERED,0,0.0201,NORMAL
ORD-10064,CUST-062,2026-06-29,560012,C02,SELLER-10,Home,3999,3999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10065,CUST-074,2026-08-20,560005,C01,SELLER-05,Electronics,3999,3999,COD,False,True,DELIVERED,0,0.0441,NORMAL
ORD-10066,CUST-060,2026-06-22,560005,C01,SELLER-07,Mobile_Accessories,1299,1299,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10067,CUST-080,2026-06-29,560012,C07,SELLER-03,Kitchen,2499,2499,COD,False,True,DELIVERED,0,0.0467,NORMAL
ORD-10068,CUST-095,2026-06-18,560010,C03,SELLER-02,Grocery,599,599,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10069,CUST-015,2026-06-06,560013,C07,SELLER-07,Fashion,1499,1499,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10070,CUST-009,2026-06-15,560012,C03,SELLER-06,Footwear,2999,2999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10071,CUST-053,2026-08-06,560100,C07,SELLER-04,Personal_Care,1499,1499,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10072,CUST-083,2026-06-08,560010,C04,SELLER-01,Beauty,599,599,COD,False,True,DELIVERED,0,0.0535,NORMAL
ORD-10073,CUST-054,2026-07-19,560004,C02,SELLER-07,Beauty,2499,2499,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10074,CUST-097,2026-08-07,560068,C04,SELLER-07,Beauty,2999,2999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10075,CUST-054,2026-07-18,560014,C03,SELLER-04,Mobile_Accessories,399,399,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10076,CUST-018,2026-08-31,560012,C01,SELLER-09,Mobile_Accessories,3999,3999,COD,False,True,DELIVERED,0,0.3153,NORMAL
ORD-10077,CUST-044,2026-06-13,560013,C03,SELLER-08,Fashion,999,999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10078,CUST-068,2026-06-17,560100,C01,SELLER-04,Mobile_Accessories,399,399,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10079,CUST-014,2026-07-06,560068,C02,SELLER-04,Home,2999,2999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10080,CUST-080,2026-07-27,560100,C01,SELLER-03,Beauty,1299,1299,COD,False,True,DELIVERED,0,0.0403,NORMAL
ORD-10081,CUST-013,2026-08-01,560001,C02,SELLER-04,Mobile_Accessories,399,399,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10082,CUST-013,2026-06-16,560002,C02,SELLER-09,Footwear,4999,4999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10083,CUST-053,2026-07-23,560012,C07,SELLER-08,Fashion,2999,2999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10084,CUST-063,2026-07-21,560017,C03,SELLER-01,Electronics,1999,1999,COD,False,False,DELIVERED,0,0.2015,NORMAL
ORD-10085,CUST-050,2026-08-31,560004,C04,SELLER-02,Grocery,4999,4999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10086,CUST-062,2026-07-28,560003,C02,SELLER-10,Personal_Care,1299,1299,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10087,CUST-047,2026-08-02,560100,C07,SELLER-09,Grocery,1299,1299,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10088,CUST-080,2026-07-18,560004,C07,SELLER-07,Home,4999,4999,COD,False,True,DELIVERED,0,0.0678,NORMAL
ORD-10089,CUST-049,2026-07-16,560015,C04,SELLER-06,Fashion,1799,1799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10090,CUST-021,2026-06-14,560005,C04,SELLER-02,Fashion,599,599,COD,False,True,DELIVERED,0,0.2361,NORMAL
ORD-10091,CUST-075,2026-07-29,560012,C02,SELLER-10,Electronics,2499,2499,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10092,CUST-069,2026-07-02,560014,C03,SELLER-01,Footwear,3999,3999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10093,CUST-043,2026-06-26,560076,C07,SELLER-08,Beauty,999,999,COD,False,True,DELIVERED,0,0.0596,NORMAL
ORD-10094,CUST-043,2026-06-26,560068,C03,SELLER-10,Kitchen,599,599,COD,False,True,DELIVERED,0,0.048,NORMAL
ORD-10095,CUST-084,2026-08-03,560100,C07,SELLER-01,Sports,3999,3999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10096,CUST-084,2026-09-02,560009,C01,SELLER-05,Kitchen,799,799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10097,CUST-001,2026-06-18,560005,C07,SELLER-02,Footwear,3999,3999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10098,CUST-099,2026-07-19,560003,C07,SELLER-07,Footwear,999,999,COD,False,True,DELIVERED,0,0.2399,NORMAL
ORD-10099,CUST-045,2026-06-20,560011,C07,SELLER-01,Fashion,2999,2999,COD,False,True,DELIVERED,0,0.0246,NORMAL
ORD-10100,CUST-064,2026-08-02,560003,C03,SELLER-08,Footwear,1999,1999,COD,True,True,DELIVERED,0,0.081,NORMAL
ORD-10101,CUST-023,2026-07-02,560017,C01,SELLER-02,Footwear,1499,1499,COD,False,True,DELIVERED,0,0.4228,NORMAL
ORD-10102,CUST-062,2026-08-02,560017,C03,SELLER-07,Home,399,399,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10103,CUST-014,2026-06-16,560007,C02,SELLER-06,Kitchen,1299,1299,COD,False,True,RTO,1,0.02,NORMAL
ORD-10104,CUST-075,2026-07-23,560006,C02,SELLER-04,Sports,1799,1799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10105,CUST-069,2026-06-06,560012,C01,SELLER-07,Electronics,1799,1799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10106,CUST-005,2026-08-12,560011,C07,SELLER-07,Personal_Care,1799,1799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10107,CUST-025,2026-07-19,560013,C01,SELLER-10,Beauty,1499,1499,COD,False,True,DELIVERED,0,0.3511,NORMAL
ORD-10108,CUST-092,2026-08-01,560003,C04,SELLER-07,Home,599,599,COD,False,False,RTO,1,0.5832,NORMAL
ORD-10109,CUST-005,2026-06-12,560010,C03,SELLER-03,Mobile_Accessories,999,999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10110,CUST-008,2026-06-27,560017,C02,SELLER-03,Mobile_Accessories,1499,1499,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10111,CUST-021,2026-08-19,560006,C07,SELLER-03,Fashion,799,799,COD,False,True,DELIVERED,0,0.3553,NORMAL
ORD-10112,CUST-053,2026-07-06,560076,C07,SELLER-10,Personal_Care,1999,1999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10113,CUST-066,2026-08-05,560005,C04,SELLER-08,Grocery,599,599,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10114,CUST-023,2026-07-19,560002,C03,SELLER-05,Fashion,2499,2499,COD,False,True,DELIVERED,0,0.4193,NORMAL
ORD-10115,CUST-004,2026-08-01,560010,C01,SELLER-10,Fashion,3999,3999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10116,CUST-053,2026-07-06,560068,C01,SELLER-04,Personal_Care,1999,1999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10117,CUST-055,2026-07-23,560002,C04,SELLER-02,Mobile_Accessories,599,599,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10118,CUST-003,2026-06-20,560015,C04,SELLER-10,Sports,2499,2499,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10119,CUST-092,2026-08-20,560013,C04,SELLER-01,Personal_Care,1499,1499,COD,False,False,DELIVERED,0,0.4869,NORMAL
ORD-10120,CUST-040,2026-06-29,560011,C01,SELLER-05,Footwear,2499,2499,COD,False,True,DELIVERED,0,0.0329,NORMAL
ORD-10121,CUST-068,2026-08-08,560100,C02,SELLER-10,Fashion,1499,1499,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10122,CUST-043,2026-07-29,560013,C02,SELLER-05,Fashion,2999,2999,COD,False,True,DELIVERED,0,0.0328,NORMAL
ORD-10123,CUST-080,2026-07-10,560005,C07,SELLER-09,Footwear,599,599,COD,False,True,RTO,1,0.0517,NORMAL
ORD-10124,CUST-036,2026-06-18,560007,C03,SELLER-04,Home,1999,1999,COD,False,True,DELIVERED,0,0.0396,NORMAL
ORD-10125,CUST-027,2026-08-08,560004,C07,SELLER-01,Sports,2499,2499,COD,False,False,DELIVERED,0,0.1247,NORMAL
ORD-10126,CUST-079,2026-06-22,560005,C07,SELLER-03,Beauty,1799,1799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10127,CUST-079,2026-08-09,560006,C04,SELLER-06,Footwear,399,399,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10128,CUST-098,2026-07-26,560100,C03,SELLER-04,Grocery,4999,4999,COD,False,True,RTO,1,0.3254,NORMAL
ORD-10129,CUST-098,2026-07-19,560016,C02,SELLER-08,Personal_Care,1499,1499,COD,False,True,DELIVERED,0,0.3514,NORMAL
ORD-10130,CUST-079,2026-08-21,560017,C07,SELLER-04,Beauty,1799,1799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10131,CUST-085,2026-08-13,560002,C04,SELLER-02,Sports,1499,1499,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10132,CUST-084,2026-08-31,560010,C01,SELLER-08,Kitchen,799,799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10133,CUST-084,2026-07-15,560003,C02,SELLER-01,Mobile_Accessories,1999,1999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10134,CUST-055,2026-06-07,560008,C04,SELLER-04,Mobile_Accessories,599,599,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10135,CUST-007,2026-09-02,560011,C02,SELLER-05,Electronics,799,799,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10136,CUST-072,2026-08-31,560005,C04,SELLER-01,Personal_Care,1999,1999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10137,CUST-021,2026-07-16,560005,C07,SELLER-09,Personal_Care,4999,4999,COD,False,True,RTO,1,0.3784,NORMAL
ORD-10138,CUST-025,2026-08-06,560010,C01,SELLER-07,Home,399,399,COD,False,True,DELIVERED,0,0.3034,NORMAL
ORD-10139,CUST-053,2026-08-05,560004,C04,SELLER-01,Sports,2999,2999,COD,False,True,DELIVERED,0,0.02,NORMAL
ORD-10140,CUST-019,2026-07-09,560005,C03,SELLER-10,Electronics,1799,1799,COD,False,False,RTO,1,0.5347,NORMAL
ORD-10141,CUST-049,2026-07-27,560003,C07,SELLER-09,Fashion,1499,1499,COD,False,True,DELIVERED,0,0.02,NORMAL
